qq,RPI-XN-HDPE-Q i,HDPE-128,RPI-XN-HDPE-128,RPI-XN-HDPE-130,,q (A^-1),RPI-XN-4-71 in Co,RPI-XN-4-73-1280C,RPI-XN-4-73-1285C,RPI-XN-4-73-1290C,RPI-XN-4-73-1295C,RPI-XN-4-73-1300C,RPI-XN-4-73-1305C
1.43E-01,2.53E-02,2.99E-02,3.48E-02,4.31E-02,,1.43E-01,3.56E-01,0.395,0.434,0.44,0.425,0.166,0.363
1.44E-01,2.26E-02,2.78E-02,3.17E-02,4.34E-02,,1.44E-01,3.48E-01,0.377,0.432,0.424,0.407,0.164,0.351
1.46E-01,2.30E-02,3.06E-02,3.24E-02,4.05E-02,,1.46E-01,3.40E-01,0.364,0.413,0.407,0.392,0.158,0.348
1.47E-01,2.14E-02,2.67E-02,3.14E-02,3.89E-02,,1.47E-01,3.27E-01,0.354,0.386,0.388,0.371,0.153,0.329
1.49E-01,2.44E-02,2.61E-02,2.93E-02,3.80E-02,,1.49E-01,3.19E-01,0.332,0.387,0.383,0.356,0.142,0.321
1.50E-01,2.10E-02,2.45E-02,2.80E-02,3.71E-02,,1.50E-01,3.04E-01,0.328,0.358,0.365,0.361,0.141,0.307
1.52E-01,2.06E-02,2.49E-02,2.87E-02,3.74E-02,,1.52E-01,2.96E-01,0.322,0.353,0.349,0.335,0.134,0.293
1.53E-01,2.08E-02,2.31E-02,2.74E-02,3.60E-02,,1.53E-01,2.87E-01,0.311,0.338,0.347,0.337,0.133,0.296
1.55E-01,1.94E-02,2.49E-02,2.69E-02,3.31E-02,,1.55E-01,2.77E-01,0.298,0.332,0.338,0.316,0.129,0.283
1.56E-01,1.88E-02,2.45E-02,2.71E-02,3.21E-02,,1.56E-01,2.67E-01,0.295,0.32,0.327,0.301,0.125,0.263
1.58E-01,1.87E-02,2.36E-02,2.43E-02,3.28E-02,,1.58E-01,2.63E-01,0.283,0.305,0.314,0.3,0.12,0.267
1.59E-01,2.00E-02,2.10E-02,2.33E-02,3.31E-02,,1.59E-01,2.47E-01,0.271,0.302,0.297,0.295,0.116,0.251
1.61E-01,1.71E-02,2.20E-02,2.54E-02,3.01E-02,,1.61E-01,2.43E-01,0.257,0.291,0.295,0.28,0.111,0.247
1.62E-01,1.77E-02,2.11E-02,2.39E-02,3.16E-02,,1.62E-01,2.37E-01,0.25,0.285,0.289,0.265,0.108,0.236
1.64E-01,1.75E-02,2.00E-02,2.32E-02,3.16E-02,,1.64E-01,2.30E-01,0.238,0.274,0.274,0.26,0.107,0.228
1.65E-01,1.67E-02,2.04E-02,2.20E-02,2.87E-02,,1.65E-01,2.21E-01,0.245,0.27,0.269,0.251,0.0999,0.223
1.66E-01,1.61E-02,1.97E-02,2.21E-02,2.86E-02,,1.66E-01,2.15E-01,0.23,0.252,0.252,0.247,0.0979,0.214
1.68E-01,1.59E-02,1.83E-02,2.11E-02,2.87E-02,,1.68E-01,2.05E-01,0.227,0.251,0.249,0.23,0.0976,0.206
1.69E-01,1.49E-02,1.88E-02,2.06E-02,2.66E-02,,1.69E-01,2.03E-01,0.223,0.239,0.241,0.233,0.0911,0.202
1.71E-01,1.42E-02,1.84E-02,1.96E-02,2.88E-02,,1.71E-01,2.06E-01,0.213,0.228,0.236,0.224,0.0889,0.201
1.72E-01,1.46E-02,1.83E-02,1.91E-02,2.63E-02,,1.72E-01,1.93E-01,0.204,0.228,0.238,0.221,0.0907,0.19
1.74E-01,1.44E-02,1.78E-02,1.98E-02,2.69E-02,,1.74E-01,1.86E-01,0.196,0.219,0.223,0.215,0.0867,0.189
1.75E-01,1.39E-02,1.75E-02,1.91E-02,2.58E-02,,1.75E-01,1.80E-01,0.196,0.213,0.223,0.207,0.084,0.186
1.77E-01,1.21E-02,1.70E-02,2.03E-02,2.71E-02,,1.77E-01,1.73E-01,0.192,0.212,0.21,0.206,0.0831,0.18
1.78E-01,1.35E-02,1.76E-02,1.90E-02,2.54E-02,,1.78E-01,1.79E-01,0.183,0.208,0.204,0.193,0.0787,0.17
1.80E-01,1.35E-02,1.54E-02,1.88E-02,2.41E-02,,1.80E-01,1.72E-01,0.181,0.207,0.194,0.198,0.0784,0.168
1.81E-01,1.31E-02,1.59E-02,2.04E-02,2.37E-02,,1.81E-01,1.59E-01,0.176,0.194,0.195,0.183,0.0771,0.167
1.83E-01,1.19E-02,1.50E-02,1.86E-02,2.49E-02,,1.83E-01,1.64E-01,0.172,0.193,0.19,0.171,0.0723,0.161
1.84E-01,1.29E-02,1.61E-02,1.76E-02,2.32E-02,,1.84E-01,1.54E-01,0.166,0.188,0.189,0.178,0.072,0.155
1.86E-01,1.27E-02,1.54E-02,1.80E-02,2.38E-02,,1.86E-01,1.55E-01,0.159,0.183,0.185,0.177,0.0695,0.152
1.87E-01,1.30E-02,1.51E-02,1.74E-02,2.38E-02,,1.87E-01,1.47E-01,0.158,0.174,0.178,0.164,0.0689,0.151
1.89E-01,1.15E-02,1.55E-02,1.77E-02,2.26E-02,,1.89E-01,1.42E-01,0.153,0.167,0.175,0.163,0.0648,0.144
1.90E-01,1.27E-02,1.56E-02,1.62E-02,2.20E-02,,1.90E-01,1.45E-01,0.152,0.165,0.172,0.158,0.0663,0.14
1.91E-01,1.14E-02,1.40E-02,1.57E-02,2.16E-02,,1.91E-01,1.36E-01,0.147,0.157,0.164,0.152,0.0606,0.139
1.93E-01,1.26E-02,1.39E-02,1.59E-02,2.08E-02,,1.93E-01,1.38E-01,0.145,0.162,0.163,0.155,0.0621,0.14
1.94E-01,1.13E-02,1.52E-02,1.62E-02,2.25E-02,,1.94E-01,1.29E-01,0.141,0.153,0.155,0.146,0.0623,0.136
1.96E-01,1.14E-02,1.41E-02,1.56E-02,2.07E-02,,1.96E-01,1.29E-01,0.131,0.15,0.152,0.147,0.0586,0.125
1.97E-01,1.09E-02,1.31E-02,1.55E-02,2.34E-02,,1.97E-01,1.32E-01,0.13,0.147,0.146,0.135,0.058,0.127
1.99E-01,9.80E-03,1.48E-02,1.53E-02,2.08E-02,,1.99E-01,1.22E-01,0.133,0.14,0.146,0.135,0.0578,0.126
2.00E-01,1.01E-02,1.34E-02,1.45E-02,2.08E-02,,2.00E-01,1.26E-01,0.129,0.142,0.142,0.133,0.0557,0.122
2.02E-01,1.03E-02,1.33E-02,1.54E-02,1.98E-02,,2.02E-01,1.20E-01,0.125,0.137,0.143,0.132,0.052,0.116
2.03E-01,1.05E-02,1.36E-02,1.52E-02,2.03E-02,,2.03E-01,1.10E-01,0.122,0.13,0.134,0.131,0.0513,0.116
2.05E-01,1.10E-02,1.33E-02,1.57E-02,2.04E-02,,2.05E-01,1.11E-01,0.119,0.13,0.135,0.122,0.052,0.114
2.06E-01,1.19E-02,1.35E-02,1.48E-02,1.84E-02,,2.06E-01,1.09E-01,0.114,0.133,0.131,0.122,0.0509,0.112
2.08E-01,9.61E-03,1.39E-02,1.40E-02,1.96E-02,,2.08E-01,1.10E-01,0.113,0.129,0.13,0.119,0.0506,0.108
2.09E-01,1.08E-02,1.23E-02,1.33E-02,1.80E-02,,2.09E-01,1.10E-01,0.117,0.126,0.131,0.12,0.0494,0.1
2.11E-01,9.62E-03,1.26E-02,1.43E-02,2.02E-02,,2.11E-01,1.06E-01,0.115,0.12,0.123,0.12,0.0489,0.103
2.12E-01,9.36E-03,1.30E-02,1.32E-02,1.85E-02,,2.12E-01,1.05E-01,0.109,0.115,0.121,0.111,0.047,0.101
2.14E-01,9.32E-03,1.24E-02,1.37E-02,1.83E-02,,2.14E-01,1.05E-01,0.108,0.115,0.121,0.115,0.0473,0.0972
2.15E-01,1.04E-02,1.18E-02,1.39E-02,1.97E-02,,2.15E-01,9.52E-02,0.106,0.111,0.117,0.105,0.0462,0.0966
2.16E-01,9.48E-03,1.19E-02,1.30E-02,1.69E-02,,2.16E-01,9.83E-02,0.104,0.108,0.116,0.104,0.047,0.0917
2.18E-01,9.46E-03,1.13E-02,1.32E-02,1.82E-02,,2.18E-01,9.29E-02,0.0998,0.105,0.118,0.109,0.0428,0.0969
2.19E-01,9.96E-03,1.15E-02,1.21E-02,1.84E-02,,2.19E-01,8.98E-02,0.0979,0.106,0.106,0.102,0.0438,0.0902
2.21E-01,9.77E-03,1.15E-02,1.42E-02,1.73E-02,,2.21E-01,9.33E-02,0.0968,0.107,0.104,0.101,0.0425,0.0901
2.22E-01,9.20E-03,1.07E-02,1.27E-02,1.79E-02,,2.22E-01,9.67E-02,0.0971,0.1,0.105,0.101,0.0419,0.0877
2.24E-01,9.07E-03,1.10E-02,1.32E-02,1.80E-02,,2.24E-01,8.93E-02,0.095,0.0972,0.105,0.0939,0.0404,0.0847
2.25E-01,8.85E-03,1.16E-02,1.33E-02,1.76E-02,,2.25E-01,8.99E-02,0.0915,0.102,0.106,0.0983,0.0403,0.0796
2.27E-01,9.29E-03,1.12E-02,1.33E-02,1.75E-02,,2.27E-01,8.61E-02,0.09,0.0948,0.104,0.091,0.0408,0.0859
2.28E-01,9.10E-03,1.16E-02,1.23E-02,1.69E-02,,2.28E-01,8.60E-02,0.0872,0.0964,0.1,0.093,0.0391,0.0815
2.30E-01,8.69E-03,1.16E-02,1.27E-02,1.54E-02,,2.30E-01,8.10E-02,0.0843,0.0967,0.101,0.0898,0.038,0.0803
2.31E-01,9.24E-03,1.12E-02,1.36E-02,1.71E-02,,2.31E-01,8.35E-02,0.0865,0.0906,0.0982,0.0915,0.0382,0.0787
2.33E-01,8.94E-03,1.13E-02,1.22E-02,1.60E-02,,2.33E-01,8.09E-02,0.0838,0.0872,0.0925,0.0853,0.0376,0.0762
2.34E-01,8.57E-03,1.00E-02,1.23E-02,1.67E-02,,2.34E-01,7.82E-02,0.0833,0.0928,0.0947,0.0863,0.0374,0.0785
2.36E-01,9.50E-03,1.10E-02,1.35E-02,1.58E-02,,2.36E-01,8.01E-02,0.0814,0.0872,0.09,0.0861,0.0347,0.0754
2.37E-01,7.93E-03,1.11E-02,1.15E-02,1.74E-02,,2.37E-01,8.04E-02,0.0784,0.0819,0.0927,0.0826,0.0372,0.0774
2.39E-01,8.93E-03,1.07E-02,1.27E-02,1.63E-02,,2.39E-01,7.95E-02,0.079,0.086,0.0902,0.0817,0.0339,0.0736
2.40E-01,8.97E-03,1.09E-02,1.17E-02,1.60E-02,,2.40E-01,7.50E-02,0.0826,0.0862,0.0889,0.0782,0.0347,0.0714
2.41E-01,9.30E-03,1.13E-02,1.21E-02,1.59E-02,,2.41E-01,7.66E-02,0.0748,0.0811,0.0831,0.0798,0.0325,0.0727
2.43E-01,8.70E-03,1.09E-02,1.24E-02,1.74E-02,,2.43E-01,7.13E-02,0.0752,0.0811,0.0829,0.0773,0.0332,0.0717
2.44E-01,8.06E-03,1.11E-02,1.19E-02,1.68E-02,,2.44E-01,7.43E-02,0.0757,0.0785,0.0855,0.0762,0.0311,0.0707
2.46E-01,8.23E-03,9.82E-03,1.20E-02,1.68E-02,,2.46E-01,7.25E-02,0.073,0.0792,0.0831,0.076,0.033,0.0686
2.47E-01,8.00E-03,1.06E-02,1.31E-02,1.76E-02,,2.47E-01,6.90E-02,0.0732,0.0766,0.0848,0.0757,0.0334,0.0683
2.49E-01,8.67E-03,9.75E-03,1.24E-02,1.65E-02,,2.49E-01,6.98E-02,0.0729,0.0791,0.0815,0.0752,0.0318,0.0672
2.50E-01,8.92E-03,1.05E-02,1.24E-02,1.45E-02,,2.50E-01,6.74E-02,0.071,0.078,0.0787,0.0728,0.0324,0.0665
2.52E-01,8.49E-03,1.06E-02,1.22E-02,1.67E-02,,2.52E-01,6.36E-02,0.0714,0.0753,0.0779,0.0723,0.0316,0.0648
2.53E-01,8.48E-03,1.03E-02,1.24E-02,1.70E-02,,2.53E-01,6.65E-02,0.0669,0.0729,0.0784,0.0689,0.0301,0.0645
2.55E-01,8.22E-03,1.14E-02,1.15E-02,1.59E-02,,2.55E-01,6.31E-02,0.0687,0.0715,0.0787,0.0709,0.0306,0.0614
2.56E-01,8.78E-03,1.03E-02,1.16E-02,1.55E-02,,2.56E-01,6.61E-02,0.0699,0.07,0.0766,0.0694,0.0302,0.0632
2.58E-01,8.07E-03,9.88E-03,1.19E-02,1.54E-02,,2.58E-01,6.43E-02,0.0684,0.0681,0.0778,0.0706,0.0293,0.0615
2.59E-01,8.68E-03,9.18E-03,1.25E-02,1.43E-02,,2.59E-01,6.40E-02,0.0662,0.0694,0.0756,0.0686,0.0308,0.061
2.61E-01,8.37E-03,9.87E-03,1.10E-02,1.69E-02,,2.61E-01,6.30E-02,0.0652,0.0684,0.0727,0.065,0.0309,0.0598
2.62E-01,8.10E-03,9.85E-03,1.10E-02,1.50E-02,,2.62E-01,6.21E-02,0.064,0.0663,0.0731,0.0652,0.0279,0.0588
2.64E-01,8.42E-03,1.11E-02,1.19E-02,1.63E-02,,2.64E-01,6.38E-02,0.067,0.0677,0.0728,0.0655,0.0277,0.0561
2.65E-01,7.87E-03,1.03E-02,1.15E-02,1.54E-02,,2.65E-01,5.86E-02,0.0589,0.0648,0.0687,0.0637,0.0275,0.0584
2.66E-01,8.15E-03,1.07E-02,1.12E-02,1.41E-02,,2.66E-01,6.19E-02,0.0603,0.0631,0.0726,0.062,0.0286,0.0559
2.68E-01,7.98E-03,9.40E-03,1.17E-02,1.56E-02,,2.68E-01,5.79E-02,0.0638,0.0631,0.0711,0.0636,0.0258,0.0536
2.69E-01,7.72E-03,1.05E-02,1.17E-02,1.62E-02,,2.69E-01,6.01E-02,0.0609,0.0647,0.0665,0.0606,0.0255,0.0556
2.71E-01,7.20E-03,1.12E-02,1.15E-02,1.54E-02,,2.71E-01,5.80E-02,0.0597,0.0645,0.0707,0.0596,0.0257,0.0559
2.72E-01,8.31E-03,1.01E-02,1.13E-02,1.67E-02,,2.72E-01,5.47E-02,0.06,0.0598,0.068,0.06,0.0251,0.054
2.74E-01,8.00E-03,1.11E-02,1.09E-02,1.51E-02,,2.74E-01,5.89E-02,0.0611,0.061,0.0685,0.0558,0.026,0.0542
2.75E-01,8.44E-03,1.08E-02,1.05E-02,1.50E-02,,2.75E-01,5.60E-02,0.0605,0.0584,0.0654,0.0583,0.0269,0.054
2.77E-01,7.56E-03,1.02E-02,1.16E-02,1.53E-02,,2.77E-01,5.53E-02,0.0583,0.0625,0.068,0.0599,0.0262,0.0517
2.78E-01,7.79E-03,9.93E-03,1.04E-02,1.42E-02,,2.78E-01,5.30E-02,0.0586,0.0587,0.064,0.0589,0.0258,0.0525
2.80E-01,8.62E-03,9.57E-03,1.17E-02,1.53E-02,,2.80E-01,5.15E-02,0.0559,0.0581,0.0669,0.0574,0.0258,0.0507
2.81E-01,8.07E-03,9.73E-03,1.09E-02,1.49E-02,,2.81E-01,5.43E-02,0.0594,0.0586,0.0611,0.055,0.0255,0.0498
2.83E-01,7.98E-03,1.01E-02,1.10E-02,1.52E-02,,2.83E-01,5.35E-02,0.0585,0.0558,0.0648,0.0567,0.025,0.0499
2.84E-01,7.72E-03,1.01E-02,1.15E-02,1.41E-02,,2.84E-01,5.18E-02,0.0558,0.0547,0.0649,0.0551,0.0244,0.0525
2.86E-01,7.88E-03,9.71E-03,1.20E-02,1.55E-02,,2.86E-01,5.24E-02,0.0566,0.0559,0.0642,0.0547,0.025,0.0507
2.87E-01,7.88E-03,9.86E-03,1.06E-02,1.46E-02,,2.87E-01,5.33E-02,0.0556,0.056,0.0607,0.0536,0.0247,0.0489
2.89E-01,7.65E-03,9.51E-03,1.15E-02,1.43E-02,,2.89E-01,5.13E-02,0.0559,0.0553,0.0617,0.0544,0.0243,0.0487
2.90E-01,7.76E-03,9.99E-03,1.17E-02,1.58E-02,,2.90E-01,5.06E-02,0.0542,0.0542,0.0616,0.053,0.0237,0.0494
2.91E-01,7.49E-03,9.55E-03,1.07E-02,1.46E-02,,2.91E-01,4.79E-02,0.0542,0.054,0.0607,0.0525,0.0227,0.0475
2.93E-01,7.15E-03,9.53E-03,1.18E-02,1.58E-02,,2.93E-01,5.14E-02,0.0552,0.0515,0.0578,0.0521,0.0237,0.0485
2.94E-01,7.40E-03,1.03E-02,1.12E-02,1.49E-02,,2.94E-01,4.95E-02,0.0564,0.0516,0.0605,0.0519,0.0236,0.0484
2.96E-01,7.65E-03,9.18E-03,1.09E-02,1.48E-02,,2.96E-01,4.87E-02,0.0557,0.0508,0.0572,0.049,0.0235,0.0465
2.97E-01,7.94E-03,9.33E-03,1.12E-02,1.46E-02,,2.97E-01,5.00E-02,0.0538,0.0509,0.0583,0.0516,0.0238,0.0436
2.99E-01,8.03E-03,9.66E-03,1.12E-02,1.46E-02,,2.99E-01,4.98E-02,0.0526,0.053,0.0598,0.0502,0.0234,0.0477
3.00E-01,8.13E-03,1.01E-02,1.11E-02,1.52E-02,,3.00E-01,4.86E-02,0.0508,0.0522,0.0586,0.0532,0.023,0.0446
3.02E-01,7.80E-03,9.05E-03,1.07E-02,1.48E-02,,3.02E-01,4.71E-02,0.0511,0.0532,0.0591,0.0506,0.0221,0.0448
3.03E-01,7.58E-03,9.71E-03,1.14E-02,1.51E-02,,3.03E-01,5.00E-02,0.0526,0.048,0.0565,0.0463,0.0232,0.0455
3.05E-01,8.12E-03,9.63E-03,1.04E-02,1.57E-02,,3.05E-01,4.74E-02,0.0541,0.0491,0.06,0.0485,0.0218,0.0436
3.06E-01,7.76E-03,9.65E-03,1.14E-02,1.48E-02,,3.06E-01,4.84E-02,0.0497,0.0464,0.0576,0.0478,0.0227,0.0437
3.08E-01,7.25E-03,1.01E-02,1.13E-02,1.49E-02,,3.08E-01,4.58E-02,0.0508,0.0486,0.0561,0.049,0.0226,0.0458
3.09E-01,7.55E-03,1.04E-02,1.08E-02,1.52E-02,,3.09E-01,4.71E-02,0.0513,0.0504,0.0573,0.0478,0.0223,0.0456
3.11E-01,7.36E-03,9.97E-03,1.08E-02,1.49E-02,,3.11E-01,4.54E-02,0.0489,0.0516,0.0558,0.0468,0.0223,0.0437
3.12E-01,7.36E-03,9.49E-03,1.13E-02,1.49E-02,,3.12E-01,4.51E-02,0.0504,0.046,0.0559,0.0467,0.0225,0.044
3.14E-01,7.49E-03,8.74E-03,1.14E-02,1.42E-02,,3.14E-01,4.46E-02,0.0498,0.049,0.0568,0.0478,0.0214,0.0433
3.15E-01,7.55E-03,9.78E-03,1.09E-02,1.39E-02,,3.15E-01,4.40E-02,0.0492,0.047,0.0562,0.0473,0.0208,0.043
3.16E-01,7.26E-03,9.21E-03,1.05E-02,1.43E-02,,3.16E-01,4.48E-02,0.0494,0.0473,0.0542,0.0467,0.0213,0.0423
3.18E-01,7.13E-03,9.31E-03,1.03E-02,1.48E-02,,3.18E-01,4.37E-02,0.048,0.0461,0.0579,0.0464,0.0215,0.0405
3.19E-01,7.96E-03,9.09E-03,1.04E-02,1.39E-02,,3.19E-01,4.52E-02,0.051,0.0459,0.0552,0.045,0.0207,0.0424
3.21E-01,7.74E-03,9.30E-03,1.14E-02,1.42E-02,,3.21E-01,4.29E-02,0.0483,0.0473,0.0563,0.0436,0.0205,0.0419
3.22E-01,7.49E-03,9.64E-03,1.05E-02,1.38E-02,,3.22E-01,4.43E-02,0.0484,0.045,0.0538,0.044,0.0211,0.0402
3.24E-01,7.48E-03,9.32E-03,1.06E-02,1.46E-02,,3.24E-01,4.16E-02,0.0482,0.0447,0.0545,0.0448,0.0216,0.0409
3.25E-01,7.89E-03,9.14E-03,1.09E-02,1.59E-02,,3.25E-01,4.55E-02,0.0475,0.0461,0.0523,0.0445,0.0215,0.0399
3.27E-01,7.29E-03,9.26E-03,1.14E-02,1.45E-02,,3.27E-01,4.43E-02,0.0469,0.046,0.0505,0.0452,0.022,0.0388
3.28E-01,7.63E-03,9.09E-03,1.14E-02,1.46E-02,,3.28E-01,4.39E-02,0.0476,0.045,0.0531,0.0441,0.019,0.0389
3.30E-01,7.71E-03,9.43E-03,1.03E-02,1.44E-02,,3.30E-01,4.24E-02,0.0476,0.0456,0.0535,0.0436,0.0207,0.041
3.31E-01,7.90E-03,9.26E-03,1.02E-02,1.44E-02,,3.31E-01,4.24E-02,0.0461,0.0449,0.0538,0.0447,0.0207,0.0402
3.33E-01,7.59E-03,9.09E-03,9.88E-03,1.41E-02,,3.33E-01,4.04E-02,0.0473,0.0433,0.0531,0.0425,0.0196,0.0393
3.34E-01,7.65E-03,8.98E-03,1.12E-02,1.49E-02,,3.34E-01,4.17E-02,0.0463,0.0441,0.0512,0.0431,0.0213,0.0401
3.36E-01,7.31E-03,1.01E-02,1.10E-02,1.47E-02,,3.36E-01,4.38E-02,0.046,0.0419,0.0502,0.0427,0.0201,0.038
3.37E-01,7.52E-03,9.06E-03,1.04E-02,1.43E-02,,3.37E-01,4.09E-02,0.0462,0.041,0.0517,0.0415,0.0207,0.0403
3.39E-01,8.13E-03,9.11E-03,1.06E-02,1.40E-02,,3.39E-01,4.09E-02,0.0469,0.0424,0.0502,0.0434,0.0196,0.0392
3.40E-01,7.64E-03,9.55E-03,1.11E-02,1.43E-02,,3.40E-01,4.02E-02,0.0442,0.0421,0.0505,0.0402,0.02,0.0394
3.41E-01,7.30E-03,8.85E-03,1.03E-02,1.45E-02,,3.41E-01,4.07E-02,0.0443,0.045,0.0528,0.041,0.0201,0.0388
3.43E-01,7.15E-03,9.41E-03,1.13E-02,1.48E-02,,3.43E-01,3.92E-02,0.0443,0.0426,0.0487,0.0413,0.0196,0.036
3.44E-01,7.79E-03,1.01E-02,1.09E-02,1.52E-02,,3.44E-01,4.20E-02,0.0462,0.0413,0.0499,0.0409,0.0202,0.0377
3.46E-01,7.72E-03,9.07E-03,1.06E-02,1.47E-02,,3.46E-01,3.85E-02,0.045,0.0415,0.052,0.0412,0.02,0.0363
3.47E-01,7.24E-03,1.02E-02,1.11E-02,1.33E-02,,3.47E-01,4.10E-02,0.045,0.0403,0.0496,0.0406,0.0204,0.0371
3.49E-01,7.24E-03,9.00E-03,1.03E-02,1.43E-02,,3.49E-01,4.04E-02,0.0453,0.0407,0.0505,0.0395,0.0195,0.0378
3.50E-01,6.71E-03,9.05E-03,1.14E-02,1.50E-02,,3.50E-01,3.70E-02,0.0439,0.0407,0.0484,0.0419,0.0196,0.0362
3.52E-01,7.06E-03,9.31E-03,1.02E-02,1.46E-02,,3.52E-01,3.96E-02,0.0461,0.0401,0.0497,0.04,0.0198,0.0383
3.53E-01,7.08E-03,9.63E-03,1.09E-02,1.40E-02,,3.53E-01,3.72E-02,0.0443,0.0398,0.0494,0.041,0.0202,0.0353
3.55E-01,7.36E-03,8.73E-03,1.15E-02,1.30E-02,,3.55E-01,3.73E-02,0.0419,0.0372,0.0506,0.0389,0.02,0.0366
3.56E-01,7.33E-03,8.63E-03,1.05E-02,1.53E-02,,3.56E-01,3.76E-02,0.0458,0.0381,0.0509,0.0389,0.0189,0.0358
3.58E-01,7.26E-03,9.14E-03,1.13E-02,1.45E-02,,3.58E-01,3.84E-02,0.044,0.0383,0.05,0.0372,0.0179,0.0348
3.59E-01,7.76E-03,1.05E-02,9.91E-03,1.33E-02,,3.59E-01,3.85E-02,0.0427,0.0406,0.0464,0.0365,0.0185,0.0354
3.61E-01,7.38E-03,9.02E-03,1.10E-02,1.52E-02,,3.61E-01,3.57E-02,0.0437,0.0384,0.0492,0.0367,0.0187,0.0361
3.62E-01,7.72E-03,8.93E-03,1.04E-02,1.56E-02,,3.62E-01,3.78E-02,0.0455,0.0417,0.0486,0.039,0.0182,0.0342
3.64E-01,6.93E-03,8.80E-03,9.59E-03,1.46E-02,,3.64E-01,4.08E-02,0.042,0.0402,0.0492,0.0388,0.0183,0.0348
3.65E-01,7.48E-03,9.58E-03,1.08E-02,1.45E-02,,3.65E-01,3.83E-02,0.0404,0.0376,0.0478,0.0391,0.0179,0.0343
3.67E-01,7.75E-03,8.40E-03,1.05E-02,1.41E-02,,3.67E-01,4.06E-02,0.0424,0.0399,0.0499,0.0377,0.0186,0.0362
3.68E-01,7.59E-03,8.90E-03,1.02E-02,1.39E-02,,3.68E-01,3.87E-02,0.0428,0.0388,0.0503,0.0397,0.0191,0.0371
3.69E-01,6.64E-03,9.12E-03,1.07E-02,1.32E-02,,3.69E-01,3.60E-02,0.0437,0.0374,0.049,0.0384,0.0189,0.0357
3.71E-01,7.55E-03,9.77E-03,9.82E-03,1.55E-02,,3.71E-01,3.59E-02,0.0416,0.0396,0.051,0.0372,0.0188,0.0344
3.72E-01,7.60E-03,9.37E-03,1.02E-02,1.37E-02,,3.72E-01,3.66E-02,0.0432,0.0366,0.0479,0.038,0.0173,0.0321
3.74E-01,7.51E-03,9.73E-03,9.98E-03,1.49E-02,,3.74E-01,3.42E-02,0.0411,0.0363,0.0492,0.0355,0.0185,0.0363
