qq,RPI-XN-HDPE-Q i,HDPE-128,RPI-XN-HDPE-128,RPI-XN-HDPE-130,,q (A^-1),RPI-XN-4-71 in Co,RPI-XN-4-73-1280C,RPI-XN-4-73-1285C,RPI-XN-4-73-1290C,RPI-XN-4-73-1295C,RPI-XN-4-73-1300C,RPI-XN-4-73-1305C
3.75E-01,7.73E-03,9.98E-03,1.01E-02,1.38E-02,,3.75E-01,3.93E-02,0.0429,0.0382,0.0493,0.0351,0.0179,0.0343
3.77E-01,7.79E-03,9.93E-03,1.10E-02,1.40E-02,,3.77E-01,3.81E-02,0.0409,0.0373,0.0457,0.0352,0.0181,0.0321
3.78E-01,7.19E-03,9.39E-03,1.11E-02,1.42E-02,,3.78E-01,3.92E-02,0.0403,0.0362,0.0473,0.0368,0.0179,0.0334
3.80E-01,7.64E-03,9.74E-03,9.67E-03,1.35E-02,,3.80E-01,3.60E-02,0.0394,0.0359,0.0468,0.0343,0.0172,0.0354
3.81E-01,6.93E-03,9.63E-03,1.15E-02,1.32E-02,,3.81E-01,3.52E-02,0.0406,0.0335,0.0485,0.0361,0.0166,0.0338
3.83E-01,8.28E-03,9.33E-03,1.01E-02,1.41E-02,,3.83E-01,3.25E-02,0.0406,0.0386,0.0492,0.0366,0.0187,0.0341
3.84E-01,8.25E-03,9.26E-03,1.05E-02,1.54E-02,,3.84E-01,3.53E-02,0.0406,0.0384,0.0472,0.0361,0.0174,0.0311
3.86E-01,7.73E-03,8.35E-03,1.09E-02,1.47E-02,,3.86E-01,3.78E-02,0.0386,0.0363,0.0486,0.0367,0.0181,0.0346
3.87E-01,7.26E-03,8.70E-03,1.05E-02,1.45E-02,,3.87E-01,3.51E-02,0.0403,0.0381,0.047,0.0366,0.0171,0.03
3.89E-01,7.03E-03,9.33E-03,1.06E-02,1.46E-02,,3.89E-01,3.39E-02,0.0421,0.0384,0.0439,0.0365,0.0171,0.0333
3.90E-01,7.55E-03,9.43E-03,1.06E-02,1.46E-02,,3.90E-01,3.68E-02,0.0409,0.0353,0.0483,0.0364,0.0166,0.0341
3.92E-01,6.93E-03,8.71E-03,1.06E-02,1.39E-02,,3.92E-01,3.60E-02,0.0428,0.0358,0.0474,0.0342,0.0171,0.0342
3.93E-01,7.17E-03,8.51E-03,1.06E-02,1.48E-02,,3.93E-01,3.51E-02,0.0412,0.0391,0.0462,0.0344,0.0166,0.0313
3.94E-01,7.08E-03,8.87E-03,1.07E-02,1.44E-02,,3.94E-01,3.32E-02,0.0412,0.0366,0.0442,0.0352,0.0176,0.0323
3.96E-01,6.67E-03,8.74E-03,1.13E-02,1.39E-02,,3.96E-01,3.47E-02,0.0377,0.0388,0.046,0.0344,0.0171,0.0341
3.97E-01,7.29E-03,9.25E-03,1.08E-02,1.41E-02,,3.97E-01,3.56E-02,0.039,0.0361,0.0457,0.0359,0.0163,0.0334
3.99E-01,7.12E-03,8.99E-03,1.06E-02,1.32E-02,,3.99E-01,3.72E-02,0.0392,0.0362,0.0442,0.0351,0.0162,0.0325
4.10E-01,7.86E-03,8.97E-03,1.01E-02,1.34E-02,,4.10E-01,3.28E-02,0.0361,0.0321,0.0404,0.033,0.0164,0.0297
4.14E-01,7.83E-03,8.87E-03,9.94E-03,1.34E-02,,4.14E-01,3.23E-02,0.0352,0.0322,0.0402,0.032,0.0167,0.0296
4.18E-01,7.78E-03,8.89E-03,1.03E-02,1.34E-02,,4.18E-01,3.10E-02,0.0349,0.0316,0.0395,0.0324,0.0157,0.0284
4.22E-01,7.84E-03,8.88E-03,1.02E-02,1.32E-02,,4.23E-01,3.18E-02,0.0357,0.032,0.039,0.0331,0.0153,0.0285
4.27E-01,7.80E-03,8.79E-03,1.02E-02,1.31E-02,,4.27E-01,3.06E-02,0.0352,0.0323,0.0402,0.0322,0.0154,0.0294
4.31E-01,8.01E-03,8.91E-03,9.92E-03,1.35E-02,,4.31E-01,3.05E-02,0.0343,0.0313,0.0395,0.0311,0.0152,0.0295
4.35E-01,7.83E-03,8.80E-03,1.01E-02,1.31E-02,,4.35E-01,3.05E-02,0.0345,0.0317,0.0381,0.0314,0.0153,0.0292
4.39E-01,7.73E-03,8.70E-03,9.87E-03,1.31E-02,,4.39E-01,2.98E-02,0.0343,0.0304,0.0391,0.0313,0.0151,0.029
4.43E-01,7.70E-03,9.09E-03,1.00E-02,1.35E-02,,4.43E-01,3.05E-02,0.0343,0.0317,0.039,0.031,0.0144,0.0286
4.47E-01,7.70E-03,8.80E-03,1.02E-02,1.31E-02,,4.47E-01,2.89E-02,0.0343,0.0315,0.0387,0.0308,0.0146,0.0285
4.51E-01,7.88E-03,8.58E-03,1.03E-02,1.35E-02,,4.52E-01,3.02E-02,0.033,0.0307,0.0385,0.0315,0.0147,0.0278
4.56E-01,7.77E-03,8.81E-03,1.02E-02,1.31E-02,,4.56E-01,3.05E-02,0.0342,0.0307,0.0398,0.0318,0.0148,0.0289
4.60E-01,7.73E-03,8.85E-03,1.01E-02,1.33E-02,,4.60E-01,2.99E-02,0.0338,0.0308,0.0382,0.0308,0.0148,0.0289
4.64E-01,7.75E-03,8.82E-03,9.99E-03,1.31E-02,,4.64E-01,2.95E-02,0.0343,0.0307,0.0373,0.0307,0.0146,0.0284
4.68E-01,7.82E-03,8.70E-03,9.98E-03,1.31E-02,,4.68E-01,3.03E-02,0.0324,0.0302,0.0377,0.03,0.0147,0.0283
4.72E-01,7.73E-03,8.81E-03,1.00E-02,1.30E-02,,4.72E-01,2.96E-02,0.0335,0.0312,0.0386,0.0302,0.014,0.0272
4.76E-01,7.76E-03,8.86E-03,1.01E-02,1.33E-02,,4.76E-01,2.89E-02,0.0337,0.0316,0.0375,0.0297,0.0143,0.0274
4.81E-01,7.86E-03,8.81E-03,1.01E-02,1.33E-02,,4.81E-01,2.92E-02,0.0335,0.0305,0.0392,0.0305,0.0144,0.0273
4.85E-01,7.76E-03,8.74E-03,1.03E-02,1.33E-02,,4.85E-01,2.99E-02,0.0335,0.03,0.0378,0.0311,0.0146,0.0276
4.89E-01,7.77E-03,8.93E-03,9.96E-03,1.33E-02,,4.89E-01,2.93E-02,0.033,0.0295,0.0374,0.0306,0.0142,0.0278
4.93E-01,7.80E-03,8.67E-03,1.01E-02,1.34E-02,,4.93E-01,2.90E-02,0.0328,0.0293,0.0378,0.0304,0.0139,0.0276
4.97E-01,7.84E-03,8.60E-03,1.01E-02,1.34E-02,,4.97E-01,2.98E-02,0.0325,0.0304,0.0378,0.0302,0.0146,0.0273
5.01E-01,7.99E-03,8.97E-03,1.02E-02,1.33E-02,,5.01E-01,2.87E-02,0.0334,0.0289,0.0377,0.0302,0.0141,0.0277
5.05E-01,7.98E-03,8.95E-03,1.03E-02,1.34E-02,,5.06E-01,2.82E-02,0.033,0.0297,0.0377,0.0303,0.0149,0.0282
5.10E-01,7.67E-03,8.97E-03,1.02E-02,1.35E-02,,5.10E-01,2.96E-02,0.0326,0.0305,0.0375,0.0292,0.014,0.0276
5.14E-01,7.87E-03,8.84E-03,1.03E-02,1.34E-02,,5.14E-01,2.84E-02,0.0333,0.0304,0.0371,0.0302,0.014,0.0281
5.18E-01,7.96E-03,8.72E-03,1.03E-02,1.38E-02,,5.18E-01,2.82E-02,0.0331,0.0301,0.0375,0.03,0.0144,0.028
5.22E-01,7.93E-03,8.72E-03,1.04E-02,1.35E-02,,5.22E-01,2.93E-02,0.0334,0.0306,0.0374,0.0292,0.0139,0.0266
5.26E-01,7.92E-03,9.00E-03,1.03E-02,1.35E-02,,5.26E-01,2.86E-02,0.0331,0.0303,0.0375,0.0304,0.0146,0.0277
5.30E-01,8.09E-03,9.06E-03,1.04E-02,1.34E-02,,5.30E-01,2.85E-02,0.0336,0.0305,0.0376,0.0301,0.0144,0.0274
5.35E-01,7.81E-03,8.94E-03,1.04E-02,1.37E-02,,5.35E-01,2.79E-02,0.0333,0.0293,0.0377,0.0299,0.0142,0.0281
5.39E-01,7.95E-03,9.01E-03,1.04E-02,1.37E-02,,5.39E-01,2.82E-02,0.0321,0.0313,0.0379,0.0292,0.0142,0.0277
5.43E-01,8.14E-03,9.19E-03,1.04E-02,1.35E-02,,5.43E-01,2.77E-02,0.033,0.0303,0.0373,0.0298,0.0138,0.0274
5.47E-01,8.10E-03,9.00E-03,1.06E-02,1.35E-02,,5.47E-01,2.86E-02,0.0333,0.0303,0.0381,0.0301,0.0139,0.0277
5.51E-01,8.09E-03,9.06E-03,1.03E-02,1.36E-02,,5.51E-01,2.85E-02,0.0342,0.0306,0.0383,0.0295,0.0138,0.0268
5.55E-01,8.29E-03,8.97E-03,1.04E-02,1.38E-02,,5.55E-01,2.89E-02,0.0334,0.0312,0.037,0.0302,0.0144,0.0279
5.59E-01,7.93E-03,9.08E-03,1.06E-02,1.35E-02,,5.60E-01,2.90E-02,0.0327,0.0304,0.0377,0.0304,0.014,0.0281
5.64E-01,8.13E-03,9.21E-03,1.06E-02,1.38E-02,,5.64E-01,2.76E-02,0.0329,0.0311,0.0384,0.0308,0.0138,0.0281
5.68E-01,8.17E-03,9.06E-03,1.05E-02,1.37E-02,,5.68E-01,2.82E-02,0.0333,0.0321,0.038,0.0306,0.0146,0.027
5.72E-01,8.24E-03,9.39E-03,1.06E-02,1.39E-02,,5.72E-01,2.84E-02,0.0341,0.0313,0.0375,0.0301,0.014,0.0282
5.76E-01,8.24E-03,9.18E-03,1.07E-02,1.38E-02,,5.76E-01,2.89E-02,0.0335,0.0318,0.0382,0.0297,0.0141,0.0283
5.80E-01,8.14E-03,9.04E-03,1.06E-02,1.39E-02,,5.80E-01,2.87E-02,0.0342,0.0311,0.039,0.0303,0.0142,0.0279
5.84E-01,8.24E-03,9.13E-03,1.06E-02,1.39E-02,,5.84E-01,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5.89E-01,8.40E-03,9.25E-03,1.06E-02,1.41E-02,,5.89E-01,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5.93E-01,8.26E-03,9.43E-03,1.08E-02,1.41E-02,,5.93E-01,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5.97E-01,8.36E-03,9.24E-03,1.09E-02,1.41E-02,,5.97E-01,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
6.01E-01,8.30E-03,9.36E-03,1.09E-02,1.39E-02,,6.01E-01,2.85E-02,0.0337,0.0326,0.0391,0.0309,0.0143,0.0285
6.05E-01,8.39E-03,9.27E-03,1.09E-02,1.41E-02,,6.05E-01,2.86E-02,0.0338,0.0326,0.0396,0.0312,0.0145,0.0274
6.09E-01,8.43E-03,9.34E-03,1.08E-02,1.41E-02,,6.09E-01,2.90E-02,0.0335,0.0323,0.0396,0.0305,0.0141,0.0279
6.13E-01,8.55E-03,9.52E-03,1.06E-02,1.41E-02,,6.14E-01,2.85E-02,0.0347,0.0325,0.0389,0.0309,0.0145,0.0292
6.18E-01,8.53E-03,9.26E-03,1.11E-02,1.43E-02,,6.18E-01,2.94E-02,0.0347,0.0329,0.0386,0.0311,0.0145,0.0293
6.22E-01,8.54E-03,9.53E-03,1.09E-02,1.45E-02,,6.22E-01,2.94E-02,0.0345,0.0327,0.0388,0.0311,0.0144,0.0278
6.26E-01,8.50E-03,9.62E-03,1.10E-02,1.45E-02,,6.26E-01,2.93E-02,0.0346,0.0321,0.0382,0.0321,0.0143,0.0283
6.30E-01,8.60E-03,9.40E-03,1.09E-02,1.44E-02,,6.30E-01,2.86E-02,0.0352,0.0326,0.0385,0.0314,0.0148,0.0287
6.34E-01,8.62E-03,9.48E-03,1.12E-02,1.45E-02,,6.34E-01,2.88E-02,0.0352,0.0328,0.0398,0.0322,0.0144,0.0284
6.38E-01,8.68E-03,9.57E-03,1.11E-02,1.44E-02,,6.38E-01,2.91E-02,0.0352,0.032,0.0406,0.0321,0.0144,0.0288
6.42E-01,8.67E-03,9.59E-03,1.12E-02,1.45E-02,,6.43E-01,2.91E-02,0.0351,0.0321,0.0396,0.0322,0.0149,0.0295
6.47E-01,8.65E-03,9.85E-03,1.13E-02,1.45E-02,,6.47E-01,2.92E-02,0.0347,0.0335,0.0406,0.0318,0.0148,0.0291
6.51E-01,8.88E-03,9.76E-03,1.14E-02,1.47E-02,,6.51E-01,2.98E-02,0.0342,0.0329,0.0394,0.032,0.0144,0.0289
6.55E-01,8.59E-03,9.65E-03,1.12E-02,1.46E-02,,6.55E-01,2.86E-02,0.0362,0.0333,0.0399,0.0333,0.0149,0.0296
6.59E-01,8.90E-03,9.83E-03,1.13E-02,1.48E-02,,6.59E-01,2.90E-02,0.0359,0.0336,0.0403,0.0333,0.015,0.0288
6.63E-01,8.79E-03,9.81E-03,1.15E-02,1.49E-02,,6.63E-01,2.92E-02,0.0356,0.0336,0.0397,0.0331,0.0146,0.0299
6.67E-01,8.78E-03,9.96E-03,1.16E-02,1.49E-02,,6.68E-01,2.98E-02,0.0359,0.0342,0.0405,0.033,0.0151,0.0297
6.72E-01,8.88E-03,1.00E-02,1.14E-02,1.51E-02,,6.72E-01,2.92E-02,0.0359,0.034,0.0402,0.0324,0.0153,0.0296
6.76E-01,8.71E-03,1.01E-02,1.14E-02,1.52E-02,,6.76E-01,2.93E-02,0.0361,0.0351,0.0408,0.033,0.0152,0.0299
6.80E-01,8.99E-03,1.03E-02,1.17E-02,1.49E-02,,6.80E-01,3.00E-02,0.0361,0.034,0.042,0.0339,0.0152,0.0307
6.84E-01,9.11E-03,1.02E-02,1.17E-02,1.53E-02,,6.84E-01,3.03E-02,0.0357,0.035,0.0413,0.034,0.0151,0.0289
6.88E-01,9.03E-03,1.00E-02,1.17E-02,1.52E-02,,6.88E-01,2.89E-02,0.0368,0.0355,0.0416,0.034,0.0148,0.0307
6.92E-01,9.04E-03,9.86E-03,1.17E-02,1.52E-02,,6.92E-01,3.02E-02,0.0369,0.0355,0.0419,0.0345,0.0149,0.0307
6.96E-01,9.22E-03,1.00E-02,1.18E-02,1.54E-02,,6.97E-01,3.07E-02,0.0364,0.0358,0.0422,0.0348,0.015,0.0309
7.01E-01,9.22E-03,1.03E-02,1.18E-02,1.53E-02,,7.01E-01,2.87E-02,0.037,0.0358,0.0424,0.0346,0.015,0.0313
7.05E-01,9.38E-03,1.03E-02,1.18E-02,1.58E-02,,7.05E-01,2.98E-02,0.0368,0.035,0.0429,0.0348,0.0154,0.0306
7.09E-01,9.17E-03,1.04E-02,1.19E-02,1.53E-02,,7.09E-01,2.97E-02,0.0372,0.0366,0.0418,0.0348,0.0154,0.0318
7.13E-01,9.31E-03,1.05E-02,1.20E-02,1.53E-02,,7.13E-01,3.07E-02,0.0381,0.0367,0.0423,0.0352,0.0155,0.0311
7.17E-01,9.49E-03,1.03E-02,1.19E-02,1.56E-02,,7.17E-01,2.92E-02,0.0381,0.0366,0.0439,0.0353,0.0159,0.0315
7.21E-01,9.54E-03,1.04E-02,1.23E-02,1.58E-02,,7.22E-01,3.03E-02,0.0377,0.0376,0.0429,0.0362,0.0163,0.0319
7.26E-01,9.63E-03,1.07E-02,1.22E-02,1.59E-02,,7.26E-01,2.96E-02,0.0382,0.0371,0.0438,0.0357,0.0159,0.0326
7.30E-01,9.68E-03,1.07E-02,1.24E-02,1.60E-02,,7.30E-01,3.13E-02,0.0389,0.0375,0.0439,0.0359,0.0161,0.0318
7.34E-01,9.70E-03,1.07E-02,1.23E-02,1.55E-02,,7.34E-01,3.06E-02,0.0387,0.0378,0.0437,0.0366,0.0161,0.033
7.38E-01,9.55E-03,1.08E-02,1.24E-02,1.61E-02,,7.38E-01,2.96E-02,0.0391,0.0371,0.0437,0.037,0.0166,0.0322
7.42E-01,9.72E-03,1.09E-02,1.26E-02,1.62E-02,,7.42E-01,3.12E-02,0.0395,0.038,0.0442,0.0374,0.0163,0.0333
7.46E-01,9.58E-03,1.08E-02,1.26E-02,1.64E-02,,7.46E-01,3.05E-02,0.039,0.0379,0.045,0.0368,0.0162,0.0331
7.50E-01,9.93E-03,1.11E-02,1.25E-02,1.64E-02,,7.51E-01,3.15E-02,0.0401,0.0389,0.0443,0.0369,0.0166,0.0331
7.55E-01,9.92E-03,1.09E-02,1.26E-02,1.66E-02,,7.55E-01,3.09E-02,0.0396,0.0389,0.0457,0.0378,0.0165,0.0336
7.59E-01,9.95E-03,1.12E-02,1.28E-02,1.65E-02,,7.59E-01,3.05E-02,0.0405,0.0394,0.046,0.0381,0.0165,0.0343
7.63E-01,1.01E-02,1.12E-02,1.26E-02,1.64E-02,,7.63E-01,3.12E-02,0.0407,0.0397,0.0462,0.0376,0.0168,0.0349
7.67E-01,1.01E-02,1.12E-02,1.31E-02,1.68E-02,,7.67E-01,3.14E-02,0.0404,0.0401,0.0472,0.0387,0.0169,0.0348
7.71E-01,1.01E-02,1.12E-02,1.31E-02,1.69E-02,,7.71E-01,3.13E-02,0.0415,0.0405,0.0466,0.0388,0.0169,0.0344
7.75E-01,1.04E-02,1.14E-02,1.30E-02,1.72E-02,,7.75E-01,3.14E-02,0.0414,0.041,0.0458,0.0393,0.0172,0.0349
7.79E-01,1.03E-02,1.14E-02,1.31E-02,1.72E-02,,7.80E-01,3.20E-02,0.041,0.041,0.0463,0.0391,0.0174,0.0357
7.84E-01,1.03E-02,1.16E-02,1.33E-02,1.69E-02,,7.84E-01,3.23E-02,0.0412,0.0407,0.0482,0.0388,0.0173,0.0348
7.88E-01,1.05E-02,1.17E-02,1.33E-02,1.72E-02,,7.88E-01,3.20E-02,0.0414,0.0411,0.0479,0.0395,0.0174,0.0354
7.92E-01,1.05E-02,1.16E-02,1.34E-02,1.72E-02,,7.92E-01,3.19E-02,0.0414,0.0417,0.0468,0.0397,0.0171,0.0357
7.96E-01,1.06E-02,1.17E-02,1.37E-02,1.73E-02,,7.96E-01,3.20E-02,0.0428,0.0412,0.0469,0.0408,0.0175,0.0361
8.00E-01,1.07E-02,1.17E-02,1.36E-02,1.76E-02,,8.00E-01,3.30E-02,0.0422,0.0428,0.0483,0.0394,0.0176,0.0362
8.04E-01,1.05E-02,1.18E-02,1.35E-02,1.77E-02,,8.05E-01,3.24E-02,0.0422,0.0423,0.0488,0.0403,0.0178,0.0361
8.09E-01,1.07E-02,1.19E-02,1.39E-02,1.77E-02,,8.09E-01,3.24E-02,0.0428,0.0415,0.049,0.0397,0.0176,0.0361
8.13E-01,1.10E-02,1.21E-02,1.39E-02,1.79E-02,,8.13E-01,3.35E-02,0.0434,0.0425,0.0483,0.0403,0.0179,0.0367
8.17E-01,1.09E-02,1.21E-02,1.39E-02,1.83E-02,,8.17E-01,3.26E-02,0.0432,0.0425,0.0492,0.0406,0.0178,0.037
8.21E-01,1.12E-02,1.22E-02,1.40E-02,1.83E-02,,8.21E-01,3.26E-02,0.0428,0.0428,0.0489,0.0418,0.0179,0.0363
8.25E-01,1.12E-02,1.21E-02,1.40E-02,1.84E-02,,8.25E-01,3.35E-02,0.0436,0.0424,0.0487,0.0408,0.0179,0.036
8.29E-01,1.13E-02,1.23E-02,1.42E-02,1.84E-02,,8.29E-01,3.39E-02,0.0423,0.0432,0.0487,0.0411,0.0179,0.036
8.33E-01,1.12E-02,1.24E-02,1.44E-02,1.84E-02,,8.34E-01,3.38E-02,0.0438,0.0426,0.0492,0.0409,0.0178,0.0368
8.38E-01,1.14E-02,1.26E-02,1.44E-02,1.87E-02,,8.38E-01,3.40E-02,0.0438,0.0429,0.0492,0.0413,0.018,0.0368
8.42E-01,1.15E-02,1.26E-02,1.44E-02,1.85E-02,,8.42E-01,3.37E-02,0.0438,0.0438,0.0497,0.0414,0.0181,0.0371
8.46E-01,1.15E-02,1.27E-02,1.45E-02,1.88E-02,,8.46E-01,3.56E-02,0.0444,0.0438,0.0493,0.0413,0.0182,0.0371
8.50E-01,1.15E-02,1.30E-02,1.48E-02,1.92E-02,,8.50E-01,3.48E-02,0.0433,0.0422,0.0499,0.0416,0.0183,0.0374
8.54E-01,1.16E-02,1.29E-02,1.47E-02,1.93E-02,,8.54E-01,3.51E-02,0.0444,0.0443,0.0504,0.0412,0.0184,0.0378
8.58E-01,1.19E-02,1.29E-02,1.51E-02,1.95E-02,,8.59E-01,3.48E-02,0.0441,0.0433,0.0502,0.0411,0.0183,0.0377
8.63E-01,1.19E-02,1.32E-02,1.52E-02,1.93E-02,,8.63E-01,3.52E-02,0.0449,0.0442,0.05,0.0421,0.018,0.0377
8.67E-01,1.20E-02,1.32E-02,1.52E-02,1.94E-02,,8.67E-01,3.54E-02,0.0449,0.0443,0.0498,0.0426,0.0184,0.038
8.71E-01,1.23E-02,1.33E-02,1.54E-02,1.98E-02,,8.71E-01,3.58E-02,0.0449,0.0438,0.0495,0.0415,0.0182,0.0373
8.75E-01,1.24E-02,1.34E-02,1.56E-02,2.00E-02,,8.75E-01,3.57E-02,0.0448,0.0443,0.0499,0.0419,0.0182,0.0379
8.79E-01,1.24E-02,1.33E-02,1.54E-02,2.03E-02,,8.79E-01,3.65E-02,0.045,0.0447,0.051,0.0428,0.0186,0.0382
8.83E-01,1.25E-02,1.35E-02,1.55E-02,2.04E-02,,8.83E-01,3.63E-02,0.045,0.0444,0.0502,0.0421,0.0184,0.0378
8.87E-01,1.28E-02,1.37E-02,1.58E-02,2.03E-02,,8.88E-01,3.71E-02,0.0447,0.044,0.0506,0.0428,0.0185,0.0379
8.92E-01,1.27E-02,1.35E-02,1.58E-02,2.06E-02,,8.92E-01,3.76E-02,0.0446,0.0449,0.0502,0.0419,0.0184,0.0384
8.96E-01,1.29E-02,1.38E-02,1.61E-02,2.08E-02,,8.96E-01,3.72E-02,0.0447,0.0451,0.0493,0.0414,0.0188,0.0375
9.00E-01,1.29E-02,1.40E-02,1.61E-02,2.11E-02,,9.00E-01,3.78E-02,0.0456,0.0448,0.0519,0.0434,0.0186,0.0387
9.04E-01,1.29E-02,1.40E-02,1.64E-02,2.14E-02,,9.04E-01,3.85E-02,0.0464,0.0461,0.0517,0.0423,0.0186,0.0386
9.08E-01,1.32E-02,1.42E-02,1.65E-02,2.13E-02,,9.08E-01,3.83E-02,0.0462,0.0452,0.0515,0.0431,0.0188,0.0383
9.12E-01,1.32E-02,1.44E-02,1.67E-02,2.15E-02,,9.13E-01,3.82E-02,0.0462,0.0455,0.0511,0.0434,0.019,0.0385
9.17E-01,1.36E-02,1.45E-02,1.67E-02,2.17E-02,,9.17E-01,3.91E-02,0.0468,0.0457,0.0514,0.0428,0.0192,0.0383
9.21E-01,1.36E-02,1.45E-02,1.70E-02,2.18E-02,,9.21E-01,3.91E-02,0.0466,0.0446,0.0521,0.0434,0.019,0.0383
9.25E-01,1.36E-02,1.47E-02,1.71E-02,2.19E-02,,9.25E-01,4.02E-02,0.0464,0.0459,0.0522,0.0438,0.019,0.0393
9.29E-01,1.39E-02,1.49E-02,1.74E-02,2.23E-02,,9.29E-01,4.00E-02,0.048,0.0455,0.0527,0.0433,0.0192,0.0398
9.33E-01,1.40E-02,1.49E-02,1.75E-02,2.24E-02,,9.33E-01,4.04E-02,0.047,0.0472,0.0529,0.0444,0.0192,0.0397
9.37E-01,1.43E-02,1.51E-02,1.76E-02,2.26E-02,,9.37E-01,4.06E-02,0.0471,0.0461,0.0526,0.0453,0.0192,0.0387
9.41E-01,1.42E-02,1.52E-02,1.78E-02,2.27E-02,,9.42E-01,4.09E-02,0.0472,0.0459,0.0532,0.044,0.0194,0.0396
9.46E-01,1.45E-02,1.53E-02,1.78E-02,2.32E-02,,9.46E-01,4.20E-02,0.0477,0.0474,0.0528,0.0444,0.0198,0.04
9.50E-01,1.46E-02,1.55E-02,1.82E-02,2.31E-02,,9.50E-01,4.09E-02,0.0479,0.0475,0.054,0.0449,0.0192,0.0402
9.54E-01,1.49E-02,1.56E-02,1.80E-02,2.33E-02,,9.54E-01,4.24E-02,0.0476,0.0473,0.0547,0.0453,0.0195,0.0404
9.58E-01,1.48E-02,1.59E-02,1.86E-02,2.38E-02,,9.58E-01,4.34E-02,0.0489,0.0479,0.055,0.0454,0.0202,0.0408
9.62E-01,1.51E-02,1.61E-02,1.87E-02,2.42E-02,,9.62E-01,4.35E-02,0.0482,0.0476,0.0557,0.0454,0.0199,0.0414
9.66E-01,1.51E-02,1.60E-02,1.88E-02,2.41E-02,,9.67E-01,4.32E-02,0.0482,0.0492,0.0551,0.0457,0.0201,0.0413
9.70E-01,1.52E-02,1.63E-02,1.89E-02,2.46E-02,,9.71E-01,4.39E-02,0.049,0.049,0.0549,0.0466,0.0203,0.041
9.75E-01,1.54E-02,1.64E-02,1.92E-02,2.48E-02,,9.75E-01,4.48E-02,0.0494,0.0504,0.057,0.0458,0.0205,0.0415
9.79E-01,1.60E-02,1.67E-02,1.95E-02,2.52E-02,,9.79E-01,4.49E-02,0.0497,0.0495,0.0564,0.0463,0.0205,0.0417
